t,trans_err,rot_err
393.924,8.1344,0.159606
393.944,8.1344,0.159606
393.964,8.1344,0.159606
393.984,8.1344,0.159606
394.004,8.1344,0.159606
394.023,8.1344,0.159606
394.044,8.1344,0.159606
394.064,8.1344,0.159606
394.084,8.1344,0.159606
394.104,8.1344,0.159606
394.124,8.1344,0.159606
394.144,8.1344,0.159606
394.164,8.1344,0.159606
394.184,8.1344,0.159606
394.204,8.1344,0.159606
394.224,8.1344,0.159606
394.244,8.1344,0.159606
394.264,8.1344,0.159606
394.284,8.1344,0.159606
394.304,8.1344,0.159606
394.324,8.1344,0.159606
394.344,8.1344,0.159606
394.364,8.13439,0.159606
394.384,8.13439,0.159606
394.404,8.13439,0.159606
394.424,8.13439,0.159606
394.444,8.13439,0.159606
394.464,8.13439,0.159606
394.484,8.13439,0.159606
394.504,8.13439,0.159606
394.524,8.13439,0.159606
394.544,8.13439,0.159606
394.564,8.13439,0.159606
394.584,8.13439,0.159606
394.604,8.13439,0.159606
394.624,8.13439,0.159606
394.644,8.13439,0.159606
394.664,8.13439,0.159606
394.684,8.13439,0.159606
394.704,8.13439,0.159606
394.724,8.13439,0.159606
394.744,8.13439,0.159606
394.764,8.13439,0.159606
394.784,8.13439,0.159606
394.804,8.13439,0.159606
394.824,8.13439,0.159606
394.844,8.13439,0.159606
394.864,8.13439,0.159606
394.884,8.13439,0.159606
394.904,8.13439,0.159606
394.924,8.13439,0.159606
394.944,8.13439,0.159606
394.964,8.13439,0.159606
394.984,8.13439,0.159606
395.004,8.13439,0.159606
395.024,8.13439,0.159606
395.044,8.13439,0.159606
395.064,8.13439,0.159606
395.084,8.13439,0.159606
395.104,8.13439,0.159606
395.124,8.13439,0.159606
395.143,8.13439,0.159606
395.164,8.13439,0.159606
395.184,8.13439,0.159606
395.204,8.13439,0.159606
395.224,8.13439,0.159606
395.244,8.13439,0.159606
395.264,8.13439,0.159606
395.284,8.13439,0.159606
395.304,8.13439,0.159606
395.324,8.13439,0.159606
395.344,8.13439,0.159606
395.364,8.13439,0.159606
395.384,8.13439,0.159606
395.404,8.13439,0.159606
395.424,8.13439,0.159606
395.444,8.13439,0.159606
395.464,8.13439,0.159606
395.484,8.13439,0.159606
395.504,8.13439,0.159606
395.524,8.13439,0.159606
395.544,8.13439,0.159606
395.564,8.13439,0.159606
395.584,8.13439,0.159606
395.604,8.13439,0.159606
395.624,8.13439,0.159606
395.644,8.13439,0.159606
395.664,8.13439,0.159606
395.684,8.13439,0.159606
395.704,8.13439,0.159606
395.724,8.13439,0.159606
395.744,8.13439,0.159606
395.764,8.13439,0.159606
395.785,8.13439,0.159606
395.805,8.13439,0.159606
395.825,8.13439,0.159606
395.845,8.13439,0.159606
395.865,8.13439,0.159606
395.885,8.13438,0.159606
395.905,8.13438,0.159606
395.925,8.13438,0.159606
395.945,8.13438,0.159606
395.965,8.13438,0.159606
395.985,8.13438,0.159606
396.005,8.13438,0.159606
396.025,8.13438,0.159606
396.045,8.13438,0.159606
396.065,8.13438,0.159606
396.085,8.13438,0.159606
396.105,8.13438,0.159606
396.125,8.13438,0.159606
396.145,8.13438,0.159606
396.165,8.13438,0.159606
396.185,8.13438,0.159606
396.205,8.13438,0.159606
396.225,8.13438,0.159606
396.245,8.13438,0.159606
396.265,8.13438,0.159606
396.285,8.13438,0.159606
396.305,8.13438,0.159606
396.325,8.13438,0.159606
396.344,8.13438,0.159606
396.365,8.13438,0.159606
396.386,8.13438,0.159606
396.406,8.13438,0.159606
396.426,8.13438,0.159606
396.446,8.13438,0.159606
396.466,8.13438,0.159606
396.486,8.13438,0.159606
396.506,8.13438,0.159606
396.526,8.13438,0.159606
396.546,8.13438,0.159606
